,AO,district,address,wave,marker-color,iconContent,longitude,latitude,description
0,ЦАО,Басманный,"Москва, Бакунинская ул., д.49 c.4",1,#0ACF00,1,37.686177,55.777393,"Бакунинская ул., д.49 c.4"
1,ЦАО,Басманный,"Москва, Бакунинская ул., д.77 c.3",1,#0ACF00,1,37.692806,55.780451,"Бакунинская ул., д.77 c.3"
2,ЦАО,Басманный,"Москва, Балакиревский пер., д.2/26",1,#0ACF00,1,37.684811,55.780598,"Балакиревский пер., д.2/26"
3,ЦАО,Басманный,"Москва, Госпитальный Вал ул., д.3",1,#0ACF00,1,37.706793,55.77231,"Госпитальный Вал ул., д.3"
4,ЦАО,Басманный,"Москва, Госпитальный Вал ул., д.3 к.1",1,#0ACF00,1,37.705562,55.772613,"Госпитальный Вал ул., д.3 к.1"
5,ЦАО,Басманный,"Москва, Госпитальный Вал ул., д.5 к.10",1,#0ACF00,1,37.708015,55.772907,"Госпитальный Вал ул., д.5 к.10"
6,ЦАО,Басманный,"Москва, Почтовая Б. ул., д.51-53 c.1",1,#0ACF00,1,37.695214,55.777975,"Почтовая Б. ул., д.51-53 c.1"
7,ЦАО,Басманный,"Москва, Почтовая Б. ул., д.61-67 c.1",1,#0ACF00,1,37.696669,55.779337,"Почтовая Б. ул., д.61-67 c.1"
8,ЦАО,Красносельский,"Москва, Гаврикова ул., д.3/1",1,#0ACF00,1,37.671804,55.780856,"Гаврикова ул., д.3/1"
9,ЦАО,Красносельский,"Москва, Леснорядская 2-я ул., д.10-12 c.1",1,#0ACF00,1,37.677167,55.782106,"Леснорядская 2-я ул., д.10-12 c.1"
10,ЦАО,Красносельский,"Москва, Леснорядская ул., д.7",1,#0ACF00,1,37.67634,55.782056,"Леснорядская ул., д.7"
11,ЦАО,Пресненский,"Москва, Литвина-Седого ул. д.13",1,#0ACF00,1,37.538089,55.761674,Литвина-Седого ул. д.13
12,ЦАО,Пресненский,"Москва, Литвина-Седого ул., д.10",1,#0ACF00,1,37.538296,55.762216,"Литвина-Седого ул., д.10"
13,ЦАО,Пресненский,"Москва, Подвойского ул. д.12/15",1,#0ACF00,1,37.536832,55.761664,Подвойского ул. д.12/15
14,ЦАО,Пресненский,"Москва, Подвойского ул., д.14",1,#0ACF00,1,37.537146,55.762465,"Подвойского ул., д.14"
15,ЦАО,Пресненский,"Москва, Подвойского ул., д.16",1,#0ACF00,1,37.53773,55.7629,"Подвойского ул., д.16"
16,ЦАО,Пресненский,"Москва, Подвойского ул., д.18",1,#0ACF00,1,37.537541,55.763508,"Подвойского ул., д.18"
17,ЦАО,Пресненский,"Москва, Стрельбищенский пер., д.19А",1,#0ACF00,1,37.538521,55.762809,"Стрельбищенский пер., д.19А"
18,ЦАО,Таганский,"Москва, Дубровская 2-я ул., д.1",1,#0ACF00,1,37.6706,55.729483,"Дубровская 2-я ул., д.1"
19,ЦАО,Таганский,"Москва, Нижегородская ул., д.18",1,#0ACF00,1,37.684299,55.737345,"Нижегородская ул., д.18"
20,ЦАО,Таганский,"Москва, Нижегородская ул., д.20",1,#0ACF00,1,37.684982,55.737309,"Нижегородская ул., д.20"
21,ЦАО,Таганский,"Москва, Нижегородская ул., д.24",1,#0ACF00,1,37.685719,55.737238,"Нижегородская ул., д.24"
22,ЦАО,Таганский,"Москва, Нижегородская ул., д.26",1,#0ACF00,1,37.686455,55.737172,"Нижегородская ул., д.26"
23,САО,Бескудниковский,"Москва, Бескудниковский бульв., д.44",1,#0ACF00,1,37.545536,55.873935,"Бескудниковский бульв., д.44"
24,САО,Бескудниковский,"Москва, Бескудниковский бульв., д.46 к.1",1,#0ACF00,1,37.543848,55.873824,"Бескудниковский бульв., д.46 к.1"
25,САО,Бескудниковский,"Москва, Бескудниковский бульв., д.46 к.2",1,#0ACF00,1,37.544387,55.874258,"Бескудниковский бульв., д.46 к.2"
26,САО,Бескудниковский,"Москва, Бескудниковский бульв., д.46 к.3",1,#0ACF00,1,37.5448,55.874794,"Бескудниковский бульв., д.46 к.3"
27,САО,Бескудниковский,"Москва, Бескудниковский бульв., д.48 к.4",1,#0ACF00,1,37.541296,55.874496,"Бескудниковский бульв., д.48 к.4"
28,САО,Бескудниковский,"Москва, Бескудниковский бульв., д.48 к.5",1,#0ACF00,1,37.542186,55.874556,"Бескудниковский бульв., д.48 к.5"
29,САО,Бескудниковский,"Москва, Бескудниковский бульв., д.48 к.7",1,#0ACF00,1,37.542329,55.873961,"Бескудниковский бульв., д.48 к.7"
30,САО,Бескудниковский,"Москва, Дмитровское шоссе, д.95 к.2",1,#0ACF00,1,37.544566,55.871476,"Дмитровское шоссе, д.95 к.2"
31,САО,Бескудниковский,"Москва, Дмитровское шоссе, д.99 к.2",1,#0ACF00,1,37.545276,55.875218,"Дмитровское шоссе, д.99 к.2"
32,САО,Бескудниковский,"Москва, Коровинское шоссе, д.4 к.1",1,#0ACF00,1,37.539706,55.868132,"Коровинское шоссе, д.4 к.1"
33,САО,Бескудниковский,"Москва, Коровинское шоссе, д.4 к.2",1,#0ACF00,1,37.540174,55.86844,"Коровинское шоссе, д.4 к.2"
34,САО,Бескудниковский,"Москва, Коровинское шоссе, д.4 к.3",1,#0ACF00,1,37.540811,55.868652,"Коровинское шоссе, д.4 к.3"
35,САО,Бескудниковский,"Москва, Коровинское шоссе, д.4 к.4",1,#0ACF00,1,37.54135,55.868874,"Коровинское шоссе, д.4 к.4"
36,САО,Бескудниковский,"Москва, Коровинское шоссе, д.8 к.3",1,#0ACF00,1,37.539536,55.870223,"Коровинское шоссе, д.8 к.3"
37,САО,Бескудниковский,"Москва, Коровинское шоссе, д.8 к.4",1,#0ACF00,1,37.540308,55.870506,"Коровинское шоссе, д.8 к.4"
38,САО,Войковский,"Москва, Нарвская ул., д.1",1,#0ACF00,1,37.506828,55.831706,"Нарвская ул., д.1"
39,САО,Войковский,"Москва, Нарвская ул., д.3",1,#0ACF00,1,37.506424,55.832065,"Нарвская ул., д.3"
40,САО,Войковский,"Москва, Нарвская ул., д.5",1,#0ACF00,1,37.506011,55.83249,"Нарвская ул., д.5"
41,САО,Головинский,"Москва, Авангардная ул., д.6 к.1",1,#0ACF00,1,37.491521,55.844581,"Авангардная ул., д.6 к.1"
42,САО,Головинский,"Москва, Кронштадтский бульв., д.49",1,#0ACF00,1,37.512173,55.852839,"Кронштадтский бульв., д.49"
43,САО,Головинский,"Москва, Кронштадтский бульв., д.51",1,#0ACF00,1,37.512883,55.852773,"Кронштадтский бульв., д.51"
44,САО,Головинский,"Москва, Лавочкина ул., д.6 к.1",1,#0ACF00,1,37.504061,55.850621,"Лавочкина ул., д.6 к.1"
45,САО,Головинский,"Москва, Ленинградское шоссе, д.62 к.1",1,#0ACF00,1,37.478828,55.844465,"Ленинградское шоссе, д.62 к.1"
46,САО,Головинский,"Москва, Лихачевский 1-й пер., д.4А",1,#0ACF00,1,37.519458,55.844834,"Лихачевский 1-й пер., д.4А"
47,САО,Головинский,"Москва, Лихачевский 2-й пер., д.2",1,#0ACF00,1,37.522773,55.84488,"Лихачевский 2-й пер., д.2"
48,САО,Головинский,"Москва, Онежская ул., д. 1/2",1,#0ACF00,1,37.521282,55.844329,"Онежская ул., д. 1/2"
49,САО,Головинский,"Москва, Онежская ул., д.31",1,#0ACF00,1,37.512757,55.854512,"Онежская ул., д.31"
50,САО,Головинский,"Москва, Онежская ул., д.33",1,#0ACF00,1,37.513179,55.855446,"Онежская ул., д.33"
51,САО,Головинский,"Москва, Онежская ул., д.41",1,#0ACF00,1,37.5107,55.855982,"Онежская ул., д.41"
52,САО,Головинский,"Москва, Онежская ул., д.43/70",1,#0ACF00,1,37.511158,55.856917,"Онежская ул., д.43/70"
53,САО,Головинский,"Москва, Онежская ул., д.6",1,#0ACF00,1,37.522162,55.844465,"Онежская ул., д.6"
54,САО,Головинский,"Москва, Смольная ул., д.23 к.1",1,#0ACF00,1,37.495078,55.848908,"Смольная ул., д.23 к.1"
55,САО,Головинский,"Москва, Флотская ул., д.66 к.1",1,#0ACF00,1,37.507816,55.85575,"Флотская ул., д.66 к.1"
56,САО,Головинский,"Москва, Флотская ул., д.66 к.2",1,#0ACF00,1,37.508562,55.855654,"Флотская ул., д.66 к.2"
57,САО,Головинский,"Москва, Флотская ул., д.66 к.3",1,#0ACF00,1,37.509298,55.855573,"Флотская ул., д.66 к.3"
58,САО,Головинский,"Москва, Флотская ул., д.68",1,#0ACF00,1,37.509262,55.856619,"Флотская ул., д.68"
59,САО,Дмитровский,"Москва, Вагоноремонтная ул., д.11",1,#0ACF00,1,37.534029,55.897528,"Вагоноремонтная ул., д.11"
60,САО,Дмитровский,"Москва, Вагоноремонтная ул., д.9/25",1,#0ACF00,1,37.534793,55.897715,"Вагоноремонтная ул., д.9/25"
61,САО,Дмитровский,"Москва, Дмитровское шоссе, д.141 к.1",1,#0ACF00,1,37.541386,55.893218,"Дмитровское шоссе, д.141 к.1"
62,САО,Дмитровский,"Москва, Дмитровское шоссе, д.143 к.1",1,#0ACF00,1,37.54135,55.893899,"Дмитровское шоссе, д.143 к.1"
63,САО,Дмитровский,"Москва, Долгопрудная ул., д.3",1,#0ACF00,1,37.540713,55.893258,"Долгопрудная ул., д.3"
64,САО,Дмитровский,"Москва, Долгопрудная ул., д.5",1,#0ACF00,1,37.54003,55.893243,"Долгопрудная ул., д.5"
65,САО,Дмитровский,"Москва, Долгопрудная ул., д.6 к.1",1,#0ACF00,1,37.540713,55.89395,"Долгопрудная ул., д.6 к.1"
66,САО,Дмитровский,"Москва, Долгопрудная ул., д.8 к.1",1,#0ACF00,1,37.539976,55.89397,"Долгопрудная ул., д.8 к.1"
67,САО,Дмитровский,"Москва, Долгопрудная ул., д.8 к.2",1,#0ACF00,1,37.539976,55.894742,"Долгопрудная ул., д.8 к.2"
68,САО,Дмитровский,"Москва, Долгопрудная ул., д.9",1,#0ACF00,1,37.538503,55.893233,"Долгопрудная ул., д.9"
69,САО,Дмитровский,"Москва, Икшинская ул., д.10",1,#0ACF00,1,37.538548,55.886115,"Икшинская ул., д.10"
70,САО,Дмитровский,"Москва, Икшинская ул., д.8",1,#0ACF00,1,37.539464,55.886418,"Икшинская ул., д.8"
71,САО,Дмитровский,"Москва, Карельский бульв., д.14/16",1,#0ACF00,1,37.53738,55.894025,"Карельский бульв., д.14/16"
72,САО,Дмитровский,"Москва, Карельский бульв., д.18",1,#0ACF00,1,37.537362,55.894783,"Карельский бульв., д.18"
73,САО,Дмитровский,"Москва, Карельский бульв., д.3 к.3",1,#0ACF00,1,37.531532,55.892986,"Карельский бульв., д.3 к.3"
74,САО,Дмитровский,"Москва, Клязьминская ул., д.26",1,#0ACF00,1,37.530867,55.89294,"Клязьминская ул., д.26"
75,САО,Западное Дегунино,"Москва, Ангарская ул., д.2 к.1",1,#0ACF00,1,37.511023,55.870652,"Ангарская ул., д.2 к.1"
76,САО,Западное Дегунино,"Москва, Ангарская ул., д.2 к.2",1,#0ACF00,1,37.512083,55.870304,"Ангарская ул., д.2 к.2"
77,САО,Западное Дегунино,"Москва, Базовская ул., д.22",1,#0ACF00,1,37.515398,55.88049,"Базовская ул., д.22"
78,САО,Западное Дегунино,"Москва, Базовская ул., д.22Б",1,#0ACF00,1,37.516359,55.879536,"Базовская ул., д.22Б"
79,САО,Западное Дегунино,"Москва, Базовская ул., д.24",1,#0ACF00,1,37.516242,55.881126,"Базовская ул., д.24"
80,САО,Западное Дегунино,"Москва, Базовская ул., д.24Б",1,#0ACF00,1,37.516745,55.880081,"Базовская ул., д.24Б"
81,САО,Западное Дегунино,"Москва, Базовская ул., д.26",1,#0ACF00,1,37.517123,55.881768,"Базовская ул., д.26"
82,САО,Западное Дегунино,"Москва, Коровинское шоссе, д.29",1,#0ACF00,1,37.521282,55.879404,"Коровинское шоссе, д.29"
83,САО,Западное Дегунино,"Москва, Коровинское шоссе, д.29А",1,#0ACF00,1,37.520411,55.879122,"Коровинское шоссе, д.29А"
84,САО,Западное Дегунино,"Москва, Талдомская ул., д.1",1,#0ACF00,1,37.513035,55.869748,"Талдомская ул., д.1"
85,САО,Коптево,"Москва, Михалковский 3-й пер., д.17",1,#0ACF00,1,37.525136,55.835675,"Михалковский 3-й пер., д.17"
